pdb_id,uniprot_id,protein_family,enzyme_number
1UOL,P04637,Belongs to the p53 family,
1ZJ0,P16442,Belongs to the glycosyltransferase 6 family,
1CCA,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
4O3C,P19491,Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family. GRIA2 subfamily,
8OFK,A0A8V0ZED1,Belongs to the uricase family,1.7.3.3
1FCS,P02185,Belongs to the globin family,
2V9E,P32169,Belongs to the aldolase class II family. RhaD subfamily,4.1.2.19
7MHQ,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
1JKB,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
4MS8,P01897,Belongs to the MHC class I family,
6KJW,Q9UHV8,,
1MKT,P00593,Belongs to the phospholipase A2 family,3.1.1.4
2P23,O95750,Belongs to the heparin-binding growth factors family,
6DPP,Q9KEI9,Belongs to the RNase H family,3.1.26.4
6RRX,Q24451,Belongs to the glycosyl hydrolase 38 family,3.2.1.114
3QUB,Q8A5V9,,
6IK4,E7D102,,
5P5F,P11838,Belongs to the peptidase A1 family,3.4.23.22
2C3W,Q9KFR4,,
6KQC,Q8ZC05,Belongs to the purine/pyrimidine phosphoribosyltransferase family. XGPT subfamily,2.4.2.-; 2.4.2.22
1WLY,Q59I44,Belongs to the zinc-containing alcohol dehydrogenase family,1.3.1.103
4NOV,E0RYY0,Belongs to the glycosyl hydrolase 43 family,
5Q65,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1L0E,P00811,Belongs to the class-C beta-lactamase family,3.5.2.6
4RWE,A0A0H2W6Z9,Belongs to the bacterial solute-binding protein 2 family,
1EUV,Q02724,Belongs to the peptidase C48 family,3.4.22.68
1EUV,Q12306,Belongs to the ubiquitin family. SUMO subfamily,
3CJ8,Q836H8,Belongs to the transferase hexapeptide repeat family. DapH subfamily,2.3.1.89
6RYD,Q9SB92,Belongs to the WUS homeobox family,
4UWW,P83514,,
6SL9,H9ZNW0,Belongs to the enoyl-CoA hydratase/isomerase family,
4X8Q,A0A0M3KL00,,
1V8X,P71119,Belongs to the heme oxygenase family,1.14.14.18
1CV3,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6CMK,A8AF35,,
3CX2,Q14896,Belongs to the immunoglobulin superfamily. MyBP family,
4UPI,Q5LLA5,,
6R88,Q9C8E7,Belongs to the glutamate-gated ion channel (TC 1.A.10.1) family,
1T95,O29759,Belongs to the SDO1/SBDS family,
1LAA,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5R2S,P11838,Belongs to the peptidase A1 family,3.4.23.22
2F8A,P07203,Belongs to the glutathione peroxidase family,1.11.1.9
3K6M,Q29551,Belongs to the 3-oxoacid CoA-transferase family,2.8.3.5
3ZZP,Q5SLP8,Belongs to the bacterial ribosomal protein bS6 family,
2VO9,Q37979,Belongs to the peptidase M15C family,3.4.24.-
5P30,P11838,Belongs to the peptidase A1 family,3.4.23.22
6KA3,A0A2U9GGW3,Belongs to the MLP family,4.2.99.24
5TZ7,F4Y425,,
4RG5,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
4RG5,Q09808,Belongs to the SMN family,
2BVV,P09850,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
1G3K,P43772,Belongs to the peptidase T1B family. HslV subfamily,3.4.25.2
2P9F,Q53WB3,,
1KSD,O77044,Belongs to the glycosyl hydrolase 9 (cellulase E) family,3.2.1.4
1NSV,Q9ZB17,Belongs to the aldose epimerase family,5.1.3.3
5UAM,A0A1W2VMZ5,Belongs to the polysaccharide lyase 25 family,4.2.2.-
4O1T,Q9ER97,Belongs to the globin family,
3CXY,P9WPP7,Belongs to the cytochrome P450 family,1.14.19.70
2WYQ,P54725,Belongs to the RAD23 family,
3C9A,Q00805,,
3C9A,Q01083,,
1F7T,P96618,Belongs to the P-Pant transferase superfamily. AcpS family,2.7.8.7
1UFO,P83821,,
4EOE,Q55891,Belongs to the HY2 family,1.3.7.5
4HOW,D9MPF2,Belongs to the glycosyl hydrolase 13 family,
2V0H,P43889,,
1JBE,P0AE67,,
1T2N,P37957,Belongs to the AB hydrolase superfamily,
7B3N,H7GE39,,
2O6A,P35755,Belongs to the bacterial solute-binding protein 1 family,
2VHR,P02883,Belongs to the thaumatin family,
3QLE,C8ZIW7,Belongs to the TIM50 family,
1TJX,P21707,Belongs to the synaptotagmin family,
1G15,P0A7Y4,Belongs to the RNase H family,3.1.26.4
3I0C,P16442,Belongs to the glycosyltransferase 6 family,
6Y2D,Q96AE4,,
3BUT,O29803,,
5MYI,A0A2D0TC88,,
1RK5,Q9AGH8,,
5PDS,Q9UIF8,Belongs to the WAL family,
1YS6,P9WGM1,,
3BNF,Q9S1E5,Belongs to the cytochrome c-552 family,1.7.2.2
5NE0,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2NRT,Q9WYA3,Belongs to the UvrC family,
3Q93,P36639,Belongs to the Nudix hydrolase family,3.6.1.56
4LG6,Q9H9E1,,
4LG6,Q9H0W5,,
4YAA,P15273,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,3.1.3.48
2EK0,Q5SK02,,
1BZA,Q47066,Belongs to the class-A beta-lactamase family,3.5.2.6
5UM1,Q0HD59,Belongs to the influenza viruses matrix protein M2 family,
5H6K,Q9U8Q4,Belongs to the pierisin ADP-ribosyltransferase family,2.4.2.-
2JCW,P00445,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
7LJI,Q769D3,,
1LML,P08148,Belongs to the peptidase M8 family,3.4.24.36
4F1C,P01308,Belongs to the insulin family,
5OVV,Q9JLU4,Belongs to the SHANK family,
5OVV,Q8K1Q4,Belongs to the LZTS3 family,
5Y1W,O96935,Belongs to the peptidase M1 family,3.4.11.-
3D3I,P42592,Belongs to the glycosyl hydrolase 63 family,3.2.1.-
3HZP,Q46KI2,,
6VO4,Q16548,Belongs to the Bcl-2 family,
5FO2,P02766,Belongs to the transthyretin family,
8VQ3,P24941,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily,2.7.11.22
8VQ3,P24864,Belongs to the cyclin family. Cyclin E subfamily,
5HGG,P00749,Belongs to the peptidase S1 family,3.4.21.73
3KEZ,A6L340,Belongs to the SusD family,
3AKA,Q9F377,,
3DKS,P52235,Belongs to the thioredoxin family. DsbA subfamily,
4G22,A4ZKE4,Belongs to the plant acyltransferase family,
1E29,Q55013,Belongs to the cytochrome c family. PsbV subfamily,
3E48,A0A0H3JTC8,,
7DTK,Q95YF3,Belongs to the DEAD box helicase family. DDX6/DHH1 subfamily,3.6.4.13
6XUC,Q6NGV6,Belongs to the ChdC family. Type 2 subfamily,1.3.98.5
3KST,Q8A3Q9,Belongs to the glycosyl hydrolase 43 family,
5G3F,Q72HW2,,
6BAI,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
6L1R,Q08945,Belongs to the SSRP1 family,
5VWI,Q14160,Belongs to the LAP (LRR and PDZ) protein family,
1DBF,P19080,,5.4.99.5
3PN8,Q8DT00,Belongs to the glycosyl hydrolase 1 family,
2WBZ,P02883,Belongs to the thaumatin family,
1GBX,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
4YT3,Q06069,Belongs to the cytochrome P450 family,1.14.99.-
3WA1,P18568,Belongs to the toxin_10 family,
1PZ3,Q9XBQ3,Belongs to the glycosyl hydrolase 51 family,3.2.1.55
6PQK,P00648,Belongs to the ribonuclease N1/T1 family,3.1.27.-
6PQK,P11540,Belongs to the barstar family,
6EOU,O15294,Belongs to the glycosyltransferase 41 family. O-GlcNAc transferase subfamily,2.4.1.255
2WPT,P04482,Belongs to the colicins ColE2/ColE8/ColE9 and pyocins S1/S2 family,
2WPT,P09883,Belongs to the colicin/pyosin nuclease family,3.1.-.-
6IWD,Q15678,Belongs to the protein-tyrosine phosphatase family. Non-receptor class subfamily,3.1.3.48
6IWD,P06788,Belongs to the papillomaviridae E7 protein family,
3GWK,Q8DZR0,Belongs to the WXG100 family. sagEsxA-like subfamily,
4V0X,P63087,Belongs to the PPP phosphatase family. PP-1 subfamily,3.1.3.16
4V0X,Q5SWA1,Belongs to the PPP1R15 family,
5Q4K,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
4O6Q,O69756,,
3NJD,A0QS86,Belongs to the enoyl-CoA hydratase/isomerase family,
5NLC,Q31LH9,Belongs to the pyridoxal phosphate-binding protein YggS/PROSC family,
7CQF,P31016,Belongs to the MAGUK family,
7CQF,Q9P0K1,,
4XC4,P01308,Belongs to the insulin family,
3URE,P00778,Belongs to the peptidase S1 family,3.4.21.12
1K75,P06988,Belongs to the histidinol dehydrogenase family,1.1.1.23
2FE8,P0C6X7,Belongs to the coronaviruses polyprotein 1ab family,
5UTD,P02185,Belongs to the globin family,
6D4F,P23469,Belongs to the protein-tyrosine phosphatase family. Receptor class 4 subfamily,3.1.3.48
5M8B,A0A5B7Y0Z3,Belongs to the glycosyl hydrolase 43 family,
2OZV,Q7D120,,
5FHK,A0A087IWB4,Belongs to the LysR transcriptional regulatory family,
5P8T,P11838,Belongs to the peptidase A1 family,3.4.23.22
1XIJ,P24300,Belongs to the xylose isomerase family,5.3.1.5
1MGT,O74023,Belongs to the MGMT family,2.1.1.63
6E55,A6TF31,,
3ITX,Q75WH8,,
5P1F,P11838,Belongs to the peptidase A1 family,3.4.23.22
4DXK,Q7D1T6,,
4DCC,Q8A4Q5,,
1L3S,P52026,Belongs to the DNA polymerase type-A family,2.7.7.7
3BZQ,P9WN31,Belongs to the P(II) protein family,
2G7F,Q2XSK9,Belongs to the EndA/NucM nuclease family,
1J40,P69905,Belongs to the globin family,
1J40,P68871,Belongs to the globin family,
6CPY,C0P4K9,,
5WQQ,P80176,Belongs to the high-potential iron-sulfur protein (HiPIP) family,
1EQV,P00644,Belongs to the thermonuclease family,3.1.31.1
6GXH,Q6NAM1,Belongs to the AB hydrolase superfamily. Epoxide hydrolase family,3.8.1.3
6J9B,Q9LW31,,
1V4X,Q8AYM0,Belongs to the globin family,
1V4X,Q8AYM1,Belongs to the globin family,
5LMG,P25644,Belongs to the PAT1 family,
5LMG,P53550,Belongs to the Nudix hydrolase family. DCP2 subfamily,3.6.1.62
6QKS,Q6NAM1,Belongs to the AB hydrolase superfamily. Epoxide hydrolase family,3.8.1.3
7LOF,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6USB,O75531,Belongs to the BAF family,
4K82,P85507,,
1XG4,P77541,Belongs to the isocitrate lyase/PEP mutase superfamily. Methylisocitrate lyase family,4.1.3.30
3V4C,Q92WS7,,
2F4A,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3ABD,Q9UI95,,
3ABD,O60673,Belongs to the DNA polymerase type-B family,2.7.7.7
3K2M,P00519,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,2.7.10.2
4P0Y,Q7BVV5,,
3OYT,A0A2U2H0K6,Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family,2.3.1.41
5V6B,Q9Z0G0,Belongs to the GIPC family,
2I4S,P45777,Belongs to the GSP C family,
5ZHA,C6XF58,Belongs to the bacterial solute-binding protein 9 family,
5OFK,B9MKT7,,
5Y6T,A0A3B6UEQ6,,
4XJG,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3HJE,Q973H2,,
7DKN,Q973C7,Belongs to the MGMT family,2.1.1.63
3MZ1,Q92SG7,Belongs to the LysR transcriptional regulatory family,
2G50,P11974,Belongs to the pyruvate kinase family,2.7.1.40
2XVB,Q72HW2,,
3RRX,Q0QJA3,,
5DBA,P06746,Belongs to the DNA polymerase type-X family,2.7.7.7
4XXA,P81371,Belongs to the leguminous lectin family,
5C0T,P77072,Belongs to the MerB family,4.99.1.2
4YK6,P25054,Belongs to the adenomatous polyposis coli (APC) family,
4YK6,Q5JTC6,Belongs to the Amer family,
1U1S,Q9HUM0,Belongs to the Hfq family,
4L4P,B9MMA5,Belongs to the glycosyl hydrolase 10 (cellulase F) family,3.2.1.8
6BFF,Q93ET8,,
4ILH,P33334,,
4ILH,P32357,Belongs to the AAR2 family,
4PTI,P00974,,
6A2E,B3DUR4,,
4IZB,Q5LLW6,Belongs to the enoyl-CoA hydratase/isomerase family,4.2.1.155
6SVZ,P00760,Belongs to the peptidase S1 family,3.4.21.4
4JM7,Q5HED0,Belongs to the P-Pant transferase superfamily. AcpS family,2.7.8.7
4LZT,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2A7G,P00800,Belongs to the peptidase M4 family,3.4.24.27
2EIF,Q58625,Belongs to the eIF-5A family,
4QU8,P42574,Belongs to the peptidase C14A family,3.4.22.56
5CTD,P02452,Belongs to the fibrillar collagen family,
5CTD,P20849,Belongs to the fibril-associated collagens with interrupted helices (FACIT) family,
5CTD,P08123,Belongs to the fibrillar collagen family,
5CTD,Q14055,Belongs to the fibril-associated collagens with interrupted helices (FACIT) family,
5CTD,Q14050,Belongs to the fibril-associated collagens with interrupted helices (FACIT) family,
2ZSO,P02185,Belongs to the globin family,
1XUU,Q57265,,
7P1V,A0A178EUH2,,
1ON1,P54512,Belongs to the DtxR/MntR family,
2VYZ,O76242,Belongs to the globin family,
4R9L,Q9ZAG3,"Belongs to the limonene-1,2-epoxide hydrolase family",3.3.2.8
7DW2,A0A4Y5R032,Belongs to the GST superfamily,2.5.1.18
5IMZ,Q8P9V9,Belongs to the peroxiredoxin family. BCP/PrxQ subfamily,1.11.1.24
2E64,O57883,,
6BD0,Q4VWW5,,
5U85,Q61207,,
4E83,Q01523,Belongs to the alpha-defensin family,
7BED,P61964,Belongs to the WD repeat WDR5/wds family,
1S2W,P56839,Belongs to the isocitrate lyase/PEP mutase superfamily. PEP mutase family,5.4.2.9
6WN9,Q2FV54,Belongs to the acyltransferase 3 family,2.3.1.-
2DFA,Q53WG6,Belongs to the LamB/PxpA family,3.5.2.9
5H9Y,A0A1S4NYE2,,
1GX3,O86309,Belongs to the arylamine N-acetyltransferase family,2.3.1.5
6J0E,A0A5H1ZR36,,
2O79,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1BVA,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
6Q8F,Q2TAY7,Belongs to the WD repeat SMU1 family,
3O8M,P33284,Belongs to the hexokinase family,2.7.1.1
1SCS,P02866,Belongs to the leguminous lectin family,
4JFP,P04439,Belongs to the MHC class I family,
4JFP,P61769,Belongs to the beta-2-microglobulin family,
3HHV,Q97WI4,,
5T50,P86993,Belongs to the leguminous lectin family,
3ANO,P9WMK9,,2.7.7.53
3B74,P33324,,
4JTJ,Q9JZ55,Belongs to the KdsA family,2.5.1.55
5SZE,O66512,Belongs to the Hfq family,
2QED,Q8ZRM2,Belongs to the metallo-beta-lactamase superfamily. Glyoxalase II family,3.1.2.6
2P3W,P83110,Belongs to the peptidase S1C family,3.4.21.-
3KAZ,O80992,Belongs to the PYR/PYL/RCAR abscisic acid intracellular receptor family,
6FLF,G3FFN6,Belongs to the Caudovirales PurZ family,6.3.4.25
2XME,O29976,,
6ILX,A0A0K8P6T7,Belongs to the AB hydrolase superfamily,3.1.1.101
7L37,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
4XOD,P08191,Belongs to the fimbrial protein family,
4XOD,P08190,Belongs to the fimbrial protein family,
5E71,Q5JID5,,
3IB7,P9WP65,Belongs to the cyclic nucleotide phosphodiesterase class-III family,3.1.4.16; 3.1.4.17
3VQJ,H1AAP2,Belongs to the beta-class carbonic anhydrase family,3.13.1.7
6MTG,P07623,Belongs to the MetA family,2.3.1.46
1W80,P17427,Belongs to the adaptor complexes large subunit family,
1W80,O43426,Belongs to the synaptojanin family,3.1.3.36
4C97,Q5SM65,,
1OUD,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6PTY,Q5SJ80,Belongs to the cytochrome c oxidase subunit 2 family,7.1.1.9
1Y0E,P65517,Belongs to the NanE family,5.1.3.9
6GM5,Q9FYU1,Belongs to the NARF family,
2YN4,R4GRT2,Belongs to the HAD-like hydrolase superfamily. S-2-haloalkanoic acid dehalogenase family,3.8.1.2
3Q5Z,F2YGR7,,
6WGR,P00807,Belongs to the class-A beta-lactamase family,3.5.2.6
5Q7Y,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
4EIV,A0A7J6KBZ0,,
4GY0,P0A434,Belongs to the metallo-dependent hydrolases superfamily. Phosphotriesterase family,3.1.8.1
3NMR,Q92879,Belongs to the CELF/BRUNOL family,
5LB4,O74036,Belongs to the eukaryotic RecA-like protein family,
4LQW,P49792,Belongs to the RanBP2 E3 ligase family,2.3.2.-
4LQW,P12497,,
2EUQ,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
5UBJ,Q5AUX2,Belongs to the glycosyl hydrolase 62 family,3.2.1.55
7F5N,P17706,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
5CKG,P61769,Belongs to the beta-2-microglobulin family,
8SMH,P17433,Belongs to the ETS family,
6I28,Q91EV7,,
7QON,S4UI50,Belongs to the triosephosphate isomerase family,5.3.1.1
4B62,Q9I754,,
2FA8,A9CKJ2,,
5MSZ,A0A2R2JFH0,,
3B0M,Q76KB0,Belongs to the nitrite and sulfite reductase 4Fe-4S domain family,1.7.7.1
6HBE,E8PLV7,Belongs to the multicopper oxidase family,1.7.2.1
3FBL,Q70LC7,,
3P2U,P16692,,3.1.4.55
1JXJ,P0DUB6,Belongs to the glycosyl hydrolase 13 family,3.2.1.1
4K6H,P41365,,3.1.1.3
2DDR,P11889,Belongs to the neutral sphingomyelinase family,3.1.4.12
5P4T,P11838,Belongs to the peptidase A1 family,3.4.23.22
6MR1,Q8DKB5,Belongs to the gamma-class carbonic anhydrase family,
3BHW,Q2W5N3,Belongs to the BrxA family,
7KV6,F3PPH3,,
5MLL,O25100,Belongs to the DprA/Smf family,
3N32,P0CG48,Belongs to the ubiquitin family,
6YRY,P28720,Belongs to the queuine tRNA-ribosyltransferase family,2.4.2.29
4RVS,O53146,,
6N6E,Q9KV17,Belongs to the oligoribonuclease family,3.1.15.-
4WQ7,D3RVD4,,1.8.2.2
3GQ5,P84131,Belongs to the FPG family,3.2.2.23
5EHT,A3FJ64,Belongs to the metallo-beta-lactamase superfamily,3.1.1.81
1IUE,Q8IED5,Belongs to the 2Fe2S plant-type ferredoxin family,
1UJ0,O88811,Belongs to the STAM family,
1UJ0,Q80U87,Belongs to the peptidase C19 family,3.4.19.12
5Z3E,D2PPM8,Belongs to the glycosyl hydrolase 15 family,3.2.1.205
8SK2,C7C422,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.5.2.6
7CK0,P24300,Belongs to the xylose isomerase family,5.3.1.5
1WBE,P68265,Belongs to the GLTP family,
4NEB,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
8UCG,A0A075LQ94,,
6XAZ,Q9NQX1,Belongs to the class V-like SAM-binding methyltransferase superfamily,2.1.1.-
3H5I,Q3ADQ4,,
3V7Q,P32729,Belongs to the eukaryotic ribosomal protein eL8 family,
6B8X,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
3SOI,P00808,Belongs to the class-A beta-lactamase family,3.5.2.6
3HMS,P14210,Belongs to the peptidase S1 family. Plasminogen subfamily,
1AQM,P29957,Belongs to the glycosyl hydrolase 13 family,3.2.1.1
3ASL,Q96T88,,2.3.2.27
3ASL,P68431,Belongs to the histone H3 family,
2F0A,P51142,Belongs to the DSH family,
5ZDA,Q9RZM4,,
2XDH,O30295,,
4XFG,P21816,Belongs to the cysteine dioxygenase family,1.13.11.20
8TGP,Q8IXJ6,Belongs to the sirtuin family. Class I subfamily,2.3.1.286
8TGP,P62805,Belongs to the histone H4 family,
4BGU,Q9P9L2,Belongs to the LDH/MDH superfamily,1.1.1.37
7E03,P24300,Belongs to the xylose isomerase family,5.3.1.5
6C29,B4EV20,,
7L84,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
7PJ3,P59206,Belongs to the glycosyl hydrolase 73 family,3.2.1.96
6MYD,Q6IWL4,Belongs to the TNF receptor-associated factor family. A subfamily,2.3.2.27
6MYD,E7F4N7,Belongs to the STING family,
6NL9,P19909,,
4PBO,Q0IIP8,Belongs to the pentraxin family,
6PYV,P01889,,
6PYV,P61769,Belongs to the beta-2-microglobulin family,
6PYV,P37268,Belongs to the phytoene/squalene synthase family,2.5.1.21
1C6P,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3C8O,Q9I2W7,Belongs to the class II aldolase/RraA-like family,4.1.3.17
1CNZ,P37412,Belongs to the isocitrate and isopropylmalate dehydrogenases family. LeuB type 1 subfamily,1.1.1.85
5M2S,A0AEF3,,
3GXH,A4Y1H6,,
4WCB,P16330,Belongs to the 2H phosphoesterase superfamily. CNPase family,3.1.4.37
4ADP,P26660,Belongs to the hepacivirus polyprotein family,
6LHE,C7C422,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.5.2.6
1J7C,P0A3C7,Belongs to the 2Fe2S plant-type ferredoxin family,
6AFO,Q2T5A3,Belongs to the class-A beta-lactamase family,3.5.2.6
1R29,P41182,,
5DC9,P00519,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,2.7.10.2
5DC9,P02751,,
2ZOO,Q3IGF7,Belongs to the multicopper oxidase family,1.7.2.1
2D1E,Q55891,Belongs to the HY2 family,1.3.7.5
6OVQ,Q194Q1,Belongs to the shaker potassium channel beta subunit family,
5XZM,M4GGR7,Belongs to the catalase family,1.11.1.6
4HEC,P9WJ73,,3.1.13.-
3TIQ,Q2G2B2,,
3U26,O58216,Belongs to the HAD-like hydrolase superfamily,
4RMV,P61769,Belongs to the beta-2-microglobulin family,
2ID3,O54180,,
1GF9,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2RDI,Q97W02,Belongs to the DNA polymerase type-Y family,2.7.7.7
3A9S,C0SSE7,Belongs to the L-fucose isomerase family,5.3.1.25
4WV4,Q12962,Belongs to the TAF10 family,
4WV4,Q7Z7C8,Belongs to the TAF8 family,
2YLJ,P00433,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily,1.11.1.7
7PQF,A0A1J6UFJ6,,
5F66,P62937,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
2J6A,P53738,Belongs to the TRM112 family,
6UFE,Q81HW2,,
4XDX,P10145,Belongs to the intercrine alpha (chemokine CxC) family,
5XX7,P00974,,
4R36,Q5LH16,,
3FE3,P27448,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. SNF1 subfamily,2.7.11.1
3STF,Q9JZ55,Belongs to the KdsA family,2.5.1.55
3VTX,K7N5L8,,
8T4C,A0A0H3PAZ9,,
4B4H,Q60029,Belongs to the glycosyl hydrolase family 6,3.2.1.-
6DP1,Q9KEI9,Belongs to the RNase H family,3.1.26.4
4E4Z,P14925,,
1TS6,P16113,Belongs to the photoactive yellow protein family,
1R9L,P0AFM2,,
6IHX,P01966,Belongs to the globin family,
6IHX,P02070,Belongs to the globin family,
1VKK,Q9ERL7,Belongs to the actin-binding proteins ADF family. GMF subfamily,
6U33,Q2FXB1,Belongs to the aerolysin family,
4ITS,Q9Y606,Belongs to the tRNA pseudouridine synthase TruA family,5.4.99.-
2BCE,P30122,Belongs to the type-B carboxylesterase/lipase family,3.1.1.13; 3.1.1.3; 3.1.1.6
3UCY,P0DP23,Belongs to the calmodulin family,
3NIR,P01542,Belongs to the plant thionin (TC 1.C.44) family,
6F54,P07445,,5.3.3.1
7NRJ,A0A482LRD5,Belongs to the class-D beta-lactamase family,3.5.2.6
3SD6,P63316,Belongs to the troponin C family,
4D1U,Q840P9,Belongs to the metallo-beta-lactamase superfamily. Class-B beta-lactamase family,3.5.2.6
6EZI,Q5T2W1,Belongs to the NHER family,
6EZI,Q16348,Belongs to the major facilitator superfamily. Proton-dependent oligopeptide transporter (POT/PTR) (TC 2.A.17) family,
5HW3,A4JN42,Belongs to the class-A beta-lactamase family,3.5.2.6
1OA4,Q9KIH1,Belongs to the glycosyl hydrolase 12 (cellulase H) family,
5XQP,Q53UJ4,Belongs to the type-III AFP family,
3CSB,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
3DF7,O29201,,
6SUC,Q92729,Belongs to the protein-tyrosine phosphatase family. Receptor class 2B subfamily,3.1.3.48
4ML2,Q47149,Belongs to the RelE toxin family. YafQ subfamily,3.1.-.-
3KN8,P35755,Belongs to the bacterial solute-binding protein 1 family,
2RBZ,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
2D6B,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6TV2,Q51480,,
7BMO,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1IJY,Q61091,Belongs to the G-protein coupled receptor Fz/Smo family,
7C64,Q53W80,Belongs to the bacterial solute-binding protein 1 family,
4PE6,D6Y8L8,,
1PRZ,P33643,Belongs to the pseudouridine synthase RluA family,5.4.99.23
1C97,P20004,Belongs to the aconitase/IPM isomerase family,4.2.1.3
3A0V,Q9X180,,2.7.13.3
1GK6,P03069,Belongs to the bZIP family. GCN4 subfamily,
1GK6,P08670,Belongs to the intermediate filament family,
4CFZ,P29600,Belongs to the peptidase S8 family,3.4.21.62
5ILC,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1NS7,Q9ZB17,Belongs to the aldose epimerase family,5.1.3.3
2JEN,Q7X4S4,Belongs to the glycosyl hydrolase 12 (cellulase H) family,
2AS2,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
5QU3,P16333,,
2QMO,O24872,Belongs to the dethiobiotin synthetase family,6.3.3.3
1AMM,P02526,Belongs to the beta/gamma-crystallin family,
4OB1,Q7SID2,Belongs to the nitrile hydratase subunit alpha family,4.2.1.84
4OB1,Q7SID3,Belongs to the nitrile hydratase subunit beta family,4.2.1.84
3LQB,Q1LW01,,3.4.24.67
6DG4,G0RZV7,Belongs to the peptidase C48 family,
3ZSJ,P17931,,
5AVE,A0A0H3AES3,Belongs to the methyl-accepting chemotaxis (MCP) protein family,
1TJ9,P59071,Belongs to the phospholipase A2 family. Group II subfamily. D49 sub-subfamily,3.1.1.4
5DVW,Q05323,Belongs to the filoviridae transcriptional activator VP30 family,
5RCW,P11838,Belongs to the peptidase A1 family,3.4.23.22
2QFA,O15392,Belongs to the IAP family,
2QFA,Q53HL2,Belongs to the borealin family,
2QFA,Q9NQS7,Belongs to the INCENP family,
4FKD,Q02111,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,2.7.11.13
4E9W,C0STU6,,
2BOP,P03122,Belongs to the papillomaviridae E2 protein family,
5PD4,Q9UIF8,Belongs to the WAL family,
7A78,P28702,Belongs to the nuclear hormone receptor family. NR2 subfamily,
7A78,Q15596,Belongs to the SRC/p160 nuclear receptor coactivator family,
1VPH,Q97VS8,Belongs to the UPF0047 family,
6NH9,O14936,Belongs to the MAGUK family,2.7.11.1
2E0J,P07998,Belongs to the pancreatic ribonuclease family,4.6.1.18
1DYE,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6A1S,Q05315,,
2IWQ,O75970,,
1N4F,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5YYR,P02883,Belongs to the thaumatin family,
1C2P,P26663,Belongs to the hepacivirus polyprotein family,
